"sample_id","created","pathogens","type","animal","anamnese","farm_id","country"
"4728","2021-10-11 16:04:13","{""Pasteurella multocida"": 1, ""Bovine coronavirus"": 5, ""Mycoplasmopsis bovis"": 1, ""Mycoplasmopsis bovirhinis"": 1, ""Mesomycoplasma dispar"": 5}","balFluid","bovine","{""respiration"": {""generalClinicalSigns"": [], ""respirationClinicalSigns"": [""sneezing""]}}","4727","BE"
"4809","2021-10-20 09:42:41","{""Mycoplasmopsis bovirhinis"": 1, ""Mesomycoplasma dispar"": 1}","balFluid","bovine","{""respiration"": {""generalClinicalSigns"": [""reducedRumenMotility""], ""respirationClinicalSigns"": [""dyspnea""]}}","4808","BE"
"4810","2021-10-20 09:42:41","{""Mesomycoplasma dispar"": 1}","balFluid","bovine","{""respiration"": {""generalClinicalSigns"": [""reducedRumenMotility""], ""respirationClinicalSigns"": [""dyspnea""]}}","4808","BE"
"4811","2021-10-20 09:42:41","{""Pasteurella multocida"": 3, ""Mycoplasmopsis bovirhinis"": 1, ""Mesomycoplasma dispar"": 3}","balFluid","bovine","{""respiration"": {""generalClinicalSigns"": [""reducedRumenMotility""], ""respirationClinicalSigns"": [""dyspnea""]}}","4808","BE"
"4812","2021-10-20 09:42:41","{""Mesomycoplasma dispar"": 5}","balFluid","bovine","{""respiration"": {""generalClinicalSigns"": [""reducedRumenMotility""], ""respirationClinicalSigns"": [""dyspnea""]}}","4808","BE"
"4813","2021-10-20 09:42:41","{""Mycoplasmopsis bovirhinis"": 1, ""Mesomycoplasma dispar"": 3}","balFluid","bovine","{""respiration"": {""generalClinicalSigns"": [""reducedRumenMotility""], ""respirationClinicalSigns"": [""dyspnea""]}}","4808","BE"
"4829","2021-10-21 17:14:12","{""Pasteurella"": 1, ""Malacoplasma penetrans"": 1, ""Mycoplasmopsis bovirhinis"": 1, ""Mesomycoplasma dispar"": 3}","balFluid","bovine","{""respiration"": {""generalClinicalSigns"": [""fever"", ""increasedMortality""], ""respirationClinicalSigns"": [""sneezing"", ""nasalDischarge"", ""coughing"", ""dyspnea""]}}","4828","BE"
"4832","2021-10-21 17:19:23","{""Bovine coronavirus"": 1, ""Malacoplasma penetrans"": 1, ""Mycoplasmopsis bovirhinis"": 1, ""Mesomycoplasma dispar"": 3, ""Picobirnavirus"": 1}","balFluid","bovine","{""respiration"": {""generalClinicalSigns"": [""fever""], ""respirationClinicalSigns"": [""sneezing"", ""nasalDischarge"", ""coughing"", ""dyspnea""]}}","4831","BE"
"4838","2021-10-25 08:39:07","NULL","balFluid","bovine","{""respiration"": {""generalClinicalSigns"": [""reducedRumenMotility""], ""respirationClinicalSigns"": [""dyspnea""]}}","4837","BE"
"4842","2021-10-25 08:40:21","NULL","balFluid","bovine","{""respiration"": {""generalClinicalSigns"": [""reducedRumenMotility""], ""respirationClinicalSigns"": [""dyspnea""]}}","4841","BE"
"4929","2021-10-29 10:09:56","{""Bovine parvovirus"": 1, ""Mycoplasmopsis bovirhinis"": 1, ""Chlamydia pecorum"": 5, ""Mesomycoplasma dispar"": 1}","balFluid","bovine","{""respiration"": {""generalClinicalSigns"": [""reducedRumenMotility""], ""respirationClinicalSigns"": [""dyspnea""]}}","4928","BE"
"4930","2021-10-29 10:09:56","{""Bovine parvovirus"": 1, ""Mycoplasmopsis bovirhinis"": 1, ""Mesomycoplasma dispar"": 5}","balFluid","bovine","{""respiration"": {""generalClinicalSigns"": [""reducedRumenMotility""], ""respirationClinicalSigns"": [""dyspnea""]}}","4928","BE"
"4931","2021-10-29 10:09:56","{""Mycoplasmopsis bovirhinis"": 1, ""Chlamydia pecorum"": 1, ""Mesomycoplasma dispar"": 5}","balFluid","bovine","{""respiration"": {""generalClinicalSigns"": [""reducedRumenMotility""], ""respirationClinicalSigns"": [""dyspnea""]}}","4928","BE"
"4973","2021-11-04 09:17:08","{""Bovine coronavirus"": 3, ""Mycoplasmopsis bovirhinis"": 5, ""Mesomycoplasma dispar"": 5}","balFluid","bovine","{""respiration"": {""generalClinicalSigns"": [""fever""], ""respirationClinicalSigns"": [""coughing""]}}","4972","BE"
"4974","2021-11-04 09:17:08","{""Bovine coronavirus"": 3, ""Mycoplasmopsis bovirhinis"": 1, ""Mesomycoplasma dispar"": 3}","balFluid","bovine","{""respiration"": {""generalClinicalSigns"": [""fever""], ""respirationClinicalSigns"": [""coughing""]}}","4972","BE"
"4975","2021-11-04 09:17:08","{""Bovine coronavirus"": 3, ""Mycoplasmopsis bovirhinis"": 1, ""Mesomycoplasma dispar"": 3}","balFluid","bovine","{""respiration"": {""generalClinicalSigns"": [""fever""], ""respirationClinicalSigns"": [""coughing""]}}","4972","BE"
"4976","2021-11-04 09:17:08","{""Pasteurella multocida"": 5, ""Bovine coronavirus"": 1, ""Mycoplasmopsis bovirhinis"": 3, ""Mesomycoplasma dispar"": 1}","balFluid","bovine","{""respiration"": {""generalClinicalSigns"": [""fever""], ""respirationClinicalSigns"": [""coughing""]}}","4972","BE"
"4994","2021-11-08 08:28:32","NULL","balFluid","bovine","{""respiration"": {""generalClinicalSigns"": [], ""respirationClinicalSigns"": [""dyspnea""]}}","4993","BE"
"5040","2021-11-10 08:01:06","{""Bovine coronavirus"": 1, ""Mycoplasmopsis bovirhinis"": 3, ""Mesomycoplasma dispar"": 3}","balFluid","bovine","{""respiration"": {""generalClinicalSigns"": [], ""respirationClinicalSigns"": [""coughing""]}}","5039","BE"
"5041","2021-11-10 08:01:06","{""Mesomycoplasma flocculare"": 1, ""Bovine coronavirus"": 1, ""Mycoplasmopsis bovirhinis"": 3, ""Mesomycoplasma dispar"": 5, ""Enterovirus G"": 1}","balFluid","bovine","{""respiration"": {""generalClinicalSigns"": [], ""respirationClinicalSigns"": [""coughing""]}}","5039","BE"
"5042","2021-11-10 08:01:06","{""Bovine coronavirus"": 1, ""Mycoplasmopsis bovirhinis"": 1, ""Mesomycoplasma dispar"": 5}","balFluid","bovine","{""respiration"": {""generalClinicalSigns"": [], ""respirationClinicalSigns"": [""coughing""]}}","5039","BE"
"5059","2021-11-10 16:28:03","{""Mycoplasmopsis bovirhinis"": 3, ""Mesomycoplasma dispar"": 5, ""Mamastrovirus"": 1, ""Flavisolibacter"": 3}","balFluid","bovine","{""respiration"": {""generalClinicalSigns"": [], ""respirationClinicalSigns"": [""coughing""]}}","5058","BE"
"5065","2021-11-10 16:31:20","{""Ureaplasma"": 1, ""Mycoplasmopsis bovirhinis"": 5, ""Mesomycoplasma dispar"": 5, ""Bovine rhinitis B virus"": 1}","noseSwab","bovine","{""respiration"": {""generalClinicalSigns"": [], ""respirationClinicalSigns"": [""coughing""]}}","5064","BE"
"5094","2021-11-12 11:27:02","{""Mycoplasmopsis bovis"": 1, ""Mycoplasmopsis bovirhinis"": 1, ""Mesomycoplasma dispar"": 3, ""Influenza D virus"": 1}","balFluid","bovine","{""respiration"": {""generalClinicalSigns"": [], ""respirationClinicalSigns"": [""coughing""]}}","5093","BE"
"5126","2021-11-16 12:01:00","{""Mesomycoplasma dispar"": 5}","balFluid","bovine","{""respiration"": {""generalClinicalSigns"": [], ""respirationClinicalSigns"": [""coughing""]}}","5125","BE"
"5127","2021-11-16 12:01:00","{""Mesomycoplasma dispar"": 5}","balFluid","bovine","{""respiration"": {""generalClinicalSigns"": [], ""respirationClinicalSigns"": [""coughing""]}}","5125","BE"
"5128","2021-11-16 12:01:00","{""Mycoplasmopsis bovirhinis"": 1, ""Mesomycoplasma dispar"": 5}","balFluid","bovine","{""respiration"": {""generalClinicalSigns"": [], ""respirationClinicalSigns"": [""coughing""]}}","5125","BE"
"5129","2021-11-16 12:01:00","{""Mycoplasmopsis bovirhinis"": 1, ""Mesomycoplasma dispar"": 5}","balFluid","bovine","{""respiration"": {""generalClinicalSigns"": [], ""respirationClinicalSigns"": [""coughing""]}}","5125","BE"
"5181","2021-11-18 16:28:51","{""Mycoplasmopsis bovirhinis"": 1, ""Mesomycoplasma dispar"": 5}","balFluid","bovine","{""respiration"": {""generalClinicalSigns"": [], ""respirationClinicalSigns"": [""sneezing""]}}","5180","BE"
"5219","2021-11-23 11:00:45","{""Bovine orthopneumovirus"": 5, ""Bovine rhinitis B virus"": 1}","balFluid","bovine","{""respiration"": {""generalClinicalSigns"": [], ""respirationClinicalSigns"": [""sneezing""]}}","5218","BE"
"5220","2021-11-23 11:00:45","{""Pasteurella multocida"": 3, ""Bovine respirovirus 3"": 1, ""Mycoplasmopsis bovis"": 3, ""Mesomycoplasma dispar"": 5}","balFluid","bovine","{""respiration"": {""generalClinicalSigns"": [], ""respirationClinicalSigns"": [""sneezing""]}}","5218","BE"
"5221","2021-11-23 11:00:45","{""Acinetobacter"": 1, ""Pasteurella multocida"": 3, ""Mesomycoplasma dispar"": 3}","balFluid","bovine","{""respiration"": {""generalClinicalSigns"": [], ""respirationClinicalSigns"": [""sneezing""]}}","5218","BE"
"5222","2021-11-23 11:00:45","{""Pasteurella"": 1, ""Bovine respirovirus 3"": 1, ""Mycoplasmopsis bovis"": 1, ""Metamycoplasma alkalescens"": 5, ""Mesomycoplasma dispar"": 5}","balFluid","bovine","{""respiration"": {""generalClinicalSigns"": [], ""respirationClinicalSigns"": [""sneezing""]}}","5218","BE"
"5223","2021-11-23 11:00:45","{""Acinetobacter"": 1, ""Mycoplasmopsis bovis"": 1, ""Mesomycoplasma dispar"": 1}","balFluid","bovine","{""respiration"": {""generalClinicalSigns"": [], ""respirationClinicalSigns"": [""sneezing""]}}","5218","BE"
"5533","2021-12-03 13:21:15","{""Mesomycoplasma dispar"": 1}","balFluid","bovine","{""respiration"": {""generalClinicalSigns"": [], ""respirationClinicalSigns"": [""coughing""]}}","5532","BE"
"5534","2021-12-03 13:21:15","{""Bovine orthopneumovirus"": 3, ""Mycoplasmopsis bovirhinis"": 1, ""Mesomycoplasma dispar"": 1}","balFluid","bovine","{""respiration"": {""generalClinicalSigns"": [], ""respirationClinicalSigns"": [""coughing""]}}","5532","BE"
