"","Lab_reference","Country","Breed","Province","Farm_ID","Diagnostic_test","Sample_type","Samplenumber","Date_month","Date_week","Date","Pathogen","Result"
"44","3","Belgium","Beef","Hainaut","0290f930b05064fe1a0f25517c3daec80ed9b03f8488daf111d1d1d90488c4d8","PCR","Autopsy","a1dd6837f284625bdb1cb68f1dbc85c5dc4d8b05bae24c94ed5f55c477326ea2",2020-03-01,2020-03-09,2020-03-14,"MH",0
"45","3","Belgium","Beef","Hainaut","0290f930b05064fe1a0f25517c3daec80ed9b03f8488daf111d1d1d90488c4d8","PCR","Autopsy","a1dd6837f284625bdb1cb68f1dbc85c5dc4d8b05bae24c94ed5f55c477326ea2",2020-03-01,2020-03-09,2020-03-14,"HS",0
"46","3","Belgium","Beef","Hainaut","0290f930b05064fe1a0f25517c3daec80ed9b03f8488daf111d1d1d90488c4d8","PCR","Autopsy","a1dd6837f284625bdb1cb68f1dbc85c5dc4d8b05bae24c94ed5f55c477326ea2",2020-03-01,2020-03-09,2020-03-14,"MB",0
"47","3","Belgium","Beef","Hainaut","0290f930b05064fe1a0f25517c3daec80ed9b03f8488daf111d1d1d90488c4d8","PCR","Autopsy","a1dd6837f284625bdb1cb68f1dbc85c5dc4d8b05bae24c94ed5f55c477326ea2",2020-03-01,2020-03-09,2020-03-14,"BRSV",0
"48","3","Belgium","Beef","Hainaut","0290f930b05064fe1a0f25517c3daec80ed9b03f8488daf111d1d1d90488c4d8","PCR","Autopsy","a1dd6837f284625bdb1cb68f1dbc85c5dc4d8b05bae24c94ed5f55c477326ea2",2020-03-01,2020-03-09,2020-03-14,"PI3",0
"49","3","Belgium","Beef","Hainaut","0290f930b05064fe1a0f25517c3daec80ed9b03f8488daf111d1d1d90488c4d8","PCR","Autopsy","a1dd6837f284625bdb1cb68f1dbc85c5dc4d8b05bae24c94ed5f55c477326ea2",2020-03-01,2020-03-09,2020-03-14,"BCV",NA
"50","3","Belgium","Beef","Hainaut","0290f930b05064fe1a0f25517c3daec80ed9b03f8488daf111d1d1d90488c4d8","PCR","Autopsy","a1dd6837f284625bdb1cb68f1dbc85c5dc4d8b05bae24c94ed5f55c477326ea2",2020-09-01,2020-09-28,2020-09-28,"PM",0
"51","3","Belgium","Beef","Hainaut","0290f930b05064fe1a0f25517c3daec80ed9b03f8488daf111d1d1d90488c4d8","PCR","Autopsy","a1dd6837f284625bdb1cb68f1dbc85c5dc4d8b05bae24c94ed5f55c477326ea2",2020-09-01,2020-09-28,2020-09-28,"MH",0
"52","3","Belgium","Beef","Hainaut","0290f930b05064fe1a0f25517c3daec80ed9b03f8488daf111d1d1d90488c4d8","PCR","Autopsy","a1dd6837f284625bdb1cb68f1dbc85c5dc4d8b05bae24c94ed5f55c477326ea2",2020-09-01,2020-09-28,2020-09-28,"HS",0
"53","3","Belgium","Beef","Hainaut","0290f930b05064fe1a0f25517c3daec80ed9b03f8488daf111d1d1d90488c4d8","PCR","Autopsy","a1dd6837f284625bdb1cb68f1dbc85c5dc4d8b05bae24c94ed5f55c477326ea2",2020-09-01,2020-09-28,2020-09-28,"MB",0
"54","3","Belgium","Beef","Hainaut","0290f930b05064fe1a0f25517c3daec80ed9b03f8488daf111d1d1d90488c4d8","PCR","Autopsy","a1dd6837f284625bdb1cb68f1dbc85c5dc4d8b05bae24c94ed5f55c477326ea2",2020-09-01,2020-09-28,2020-09-28,"BRSV",0
"55","3","Belgium","Beef","Hainaut","0290f930b05064fe1a0f25517c3daec80ed9b03f8488daf111d1d1d90488c4d8","PCR","Autopsy","a1dd6837f284625bdb1cb68f1dbc85c5dc4d8b05bae24c94ed5f55c477326ea2",2020-09-01,2020-09-28,2020-09-28,"PI3",0
"56","3","Belgium","Beef","Hainaut","0290f930b05064fe1a0f25517c3daec80ed9b03f8488daf111d1d1d90488c4d8","PCR","Autopsy","a1dd6837f284625bdb1cb68f1dbc85c5dc4d8b05bae24c94ed5f55c477326ea2",2020-09-01,2020-09-28,2020-09-28,"BCV",NA
"57","3","Belgium","Beef","Hainaut","048e2d4869df4223c9a79c4c4f85c545fcf66531a090b5b2d76fe6ece60dad5e","Culture","Autopsy","feba731c642f4032a06ddddcc422802c811a9d32ec28f63e367f3010fbb29ea6",2023-12-01,2023-12-04,2023-12-04,"PM",0
"58","3","Belgium","Beef","Hainaut","048e2d4869df4223c9a79c4c4f85c545fcf66531a090b5b2d76fe6ece60dad5e","Culture","Autopsy","feba731c642f4032a06ddddcc422802c811a9d32ec28f63e367f3010fbb29ea6",2023-12-01,2023-12-04,2023-12-04,"MH",0
"59","3","Belgium","Beef","Hainaut","048e2d4869df4223c9a79c4c4f85c545fcf66531a090b5b2d76fe6ece60dad5e","Culture","Autopsy","feba731c642f4032a06ddddcc422802c811a9d32ec28f63e367f3010fbb29ea6",2023-12-01,2023-12-04,2023-12-04,"HS",0
"60","3","Belgium","Beef","Hainaut","048e2d4869df4223c9a79c4c4f85c545fcf66531a090b5b2d76fe6ece60dad5e","Culture","Autopsy","feba731c642f4032a06ddddcc422802c811a9d32ec28f63e367f3010fbb29ea6",2023-12-01,2023-12-04,2023-12-04,"MB",0
"61","3","Belgium","Beef","Hainaut","048e2d4869df4223c9a79c4c4f85c545fcf66531a090b5b2d76fe6ece60dad5e","Culture","Autopsy","feba731c642f4032a06ddddcc422802c811a9d32ec28f63e367f3010fbb29ea6",2023-12-01,2023-12-04,2023-12-04,"BRSV",NA
"62","3","Belgium","Beef","Hainaut","048e2d4869df4223c9a79c4c4f85c545fcf66531a090b5b2d76fe6ece60dad5e","Culture","Autopsy","feba731c642f4032a06ddddcc422802c811a9d32ec28f63e367f3010fbb29ea6",2023-12-01,2023-12-04,2023-12-04,"PI3",NA
"63","3","Belgium","Beef","Hainaut","048e2d4869df4223c9a79c4c4f85c545fcf66531a090b5b2d76fe6ece60dad5e","Culture","Autopsy","feba731c642f4032a06ddddcc422802c811a9d32ec28f63e367f3010fbb29ea6",2023-12-01,2023-12-04,2023-12-04,"BCV",NA
"64","3","Belgium","Beef","Hainaut","048e2d4869df4223c9a79c4c4f85c545fcf66531a090b5b2d76fe6ece60dad5e","PCR","Autopsy","feba731c642f4032a06ddddcc422802c811a9d32ec28f63e367f3010fbb29ea6",2023-12-01,2023-12-04,2023-12-04,"PM",1
"65","3","Belgium","Beef","Hainaut","048e2d4869df4223c9a79c4c4f85c545fcf66531a090b5b2d76fe6ece60dad5e","PCR","Autopsy","feba731c642f4032a06ddddcc422802c811a9d32ec28f63e367f3010fbb29ea6",2023-12-01,2023-12-04,2023-12-04,"MH",1
"66","3","Belgium","Beef","Hainaut","048e2d4869df4223c9a79c4c4f85c545fcf66531a090b5b2d76fe6ece60dad5e","PCR","Autopsy","feba731c642f4032a06ddddcc422802c811a9d32ec28f63e367f3010fbb29ea6",2023-12-01,2023-12-04,2023-12-04,"HS",1
"67","3","Belgium","Beef","Hainaut","048e2d4869df4223c9a79c4c4f85c545fcf66531a090b5b2d76fe6ece60dad5e","PCR","Autopsy","feba731c642f4032a06ddddcc422802c811a9d32ec28f63e367f3010fbb29ea6",2023-12-01,2023-12-04,2023-12-04,"MB",1
